formula,inchikey,mass,atom-count,bond-count,rotatable-bonds,tpsa,vabc,moriguchi-logp,rule-of-five-violations
C6H11O9P,OVPRPPOVAXRCED-UHFFFAOYSA-N,258.119902,27,26,7.0,171.4,205.998742767,-3.46857196599,0
C6H10O3,JVQYSWDUAOAHFM-UHFFFAOYSA-N,130.1418,19,18,3.0,54.37,133.430129156,0.43008520384,0
C5H7NO4,COJBGNAUUSNXHX-UHFFFAOYSA-N,145.11338,17,16,4.0,97.46,133.284672738,-1.23385549671,0
C5H8O3,QHKABHOOEWYVLI-UHFFFAOYSA-N,116.11522,16,15,2.0,54.37,116.13414453,0.0523716643482,0
C6H10O7,VBUYCZFBVCCYFD-UHFFFAOYSA-N,194.1394,23,22,5.0,135.29,168.591035958,-2.69650169236,0
C5H6O5,KPGXRSRHYNQIFN-UHFFFAOYSA-N,146.09814,16,15,4.0,91.67,131.078139231,-0.827855496706,0
C26H44N7O18P3S,PEKYNTFSOBAABV-UHFFFAOYSA-N,867.649946,99,101,24.0,413.29,694.119658314,-4.15314424978,2
C26H42N7O18P3S,NHNODHRSCRALBF-UHFFFAOYSA-N,865.634066,97,99,24.0,410.13,691.483199613,-4.22563115377,2
C26H44N7O17P3S,LYNVNYDEQMMNMZ-UHFFFAOYSA-N,851.650546,98,100,24.0,393.06,685.329431614,-3.48840676343,2
C46H70O2,YNPGYMZVNLIZLD-UHFFFAOYSA-N,655.0468,118,118,31.0,40.46,769.494700482,8.98283773453,1
C46H70O2,MJLXNZUZQMWZTB-UHFFFAOYSA-N,655.0468,118,118,32.0,29.46,769.494700482,8.98283773453,1
C46H70O,VUNQJPPPTJIREN-UHFFFAOYSA-N,639.0474,117,117,31.0,20.23,760.704473782,9.59562683931,1
C4H6O3,TYEYBOSBBBHJIV-UHFFFAOYSA-N,102.08864,13,12,2.0,54.37,98.8381599044,-0.357067417097,0
C3H7O7P,GXIURPTVHJPJLF-UHFFFAOYSA-N,186.057242,18,17,4.0,134.1,139.16679419,-3.12473735664,0
C14H26N3O17P3,HTJXTKBIUVFUAR-UHFFFAOYSA-N,601.287426,63,64,13.0,349.54,449.083844717,-5.64731133091,2
C3H8O10P2,XOHUEYCVLUUEJJ-UHFFFAOYSA-N,266.037144,23,22,6.0,190.44,185.364727699,-4.62763226262,0
C6H5Cl3O,KRQUJBMPSDPYMT-UHFFFAOYSA-N,199.4623,15,15,0.0,20.23,149.126420365,2.33860820329,0
C5H12N2O2,PCEJMSIIDXUDSN-UHFFFAOYSA-N,132.16098,21,20,3.0,89.34,131.973896947,-0.64799910281,0
C6H6Cl2O2,CPXFTNFOQXXRBF-UHFFFAOYSA-N,181.01664,16,16,0.0,40.46,142.705579296,1.14061083482,0
C6H4Cl2O2,AYNPIRVEWMUJDE-UHFFFAOYSA-N,179.00076,14,14,0.0,40.46,129.169120595,2.11587791881,0
C6H4Cl2O,RANCECPPZPIPNO-UHFFFAOYSA-N,163.00136,13,13,0.0,20.23,120.378893894,2.7286670236,0
C6H8O7,RXMWXENJQAINCC-UHFFFAOYSA-N,192.12352,21,20,5.0,132.13,165.954577258,-2.79323460837,0
C5H12O9P2,SFRQRNJMIIUYDI-UHFFFAOYSA-N,278.090904,28,28,1.0,162.37,201.44647025,-4.14155258947,0
C7H8O4,HVZGWILTESYJSP-UHFFFAOYSA-N,156.13602,19,18,5.0,74.6,154.243423081,-0.21162225873,0
C6H10O3,BKAJNAXTPSGJCU-UHFFFAOYSA-N,130.1418,19,18,3.0,54.37,133.430129156,0.43008520384,0
C6H8O5,FGSBNBBHOZHUBO-UHFFFAOYSA-N,160.12472,19,18,5.0,91.67,148.374123856,-0.450141957214,0
C7H6O4,YQUVCSBJEUQKSH-UHFFFAOYSA-N,154.12014,17,17,1.0,77.76,130.98696438,0.59237774127,0
C10H15N5O10P2,WHTCPDAXWFLDIH-UHFFFAOYSA-N,427.201124,42,44,6.0,252.22,294.641668916,-2.51250960586,2
C25H40N7O18P3S,OJFDKHTZOUZBOS-UHFFFAOYSA-N,851.607486,94,96,24.0,410.13,674.187214988,-4.42997950821,2
C3H7NO,PCXDJQZLDDHMGX-UHFFFAOYSA-N,73.09378,12,11,2.0,43.09,77.5949407863,-0.678910640891,0
C19H28O2,FMGSKLZLMKYGDP-UHFFFAOYSA-N,288.42442,49,52,0.0,37.3,300.061867789,3.69576500142,0
C7H12O5,BITYXLXUCSKTJS-UHFFFAOYSA-N,176.16718,24,23,4.0,94.83,168.306567183,-0.000187932327314,0
C3H6ClNO2,ASBJGPTTYPEMLP-UHFFFAOYSA-N,123.53824,13,12,2.0,63.32,101.596235257,-0.249607753742,0
C6H4N2,GZPHSAQLYPIAIN-UHFFFAOYSA-N,104.10936,12,12,1.0,36.68,97.8871346675,-0.125232780904,0
C7H8O5,SLWWJZMPHJJOPH-UHFFFAOYSA-N,172.13542,20,20,1.0,94.83,153.313649781,-0.908920848337,0
C7H13O10P,PJWIPEXIFFQAQZ-UHFFFAOYSA-N,288.145882,31,30,8.0,191.63,232.084954094,-3.84617548946,1
C10H13O10P,QUTYKIXIUDQOLK-UHFFFAOYSA-N,324.177982,34,34,6.0,180.63,266.343531869,-2.25633020163,0
C27H44N7O20P3S,CABVTRNMFUVUDM-UHFFFAOYSA-N,911.659446,102,104,26.0,450.59,726.35963764,-4.80202744763,2
C7H16NO3,JUKJNXQROUFFFI-UHFFFAOYSA-N,162.20684,27,26,4.0,60.77,165.677562041,-3.60106445444,0
C7H7NO3,WJXSWCUQABXPFS-UHFFFAOYSA-N,153.13538,18,18,1.0,83.55,133.193497888,0.59237774127,0
C4H8O3,DBXBTMSZEOQQDU-UHFFFAOYSA-N,104.10452,15,14,2.0,57.53,101.474618605,-0.249607753742,0
C25H42N7O18P3S,WWEOGFZEFHPUAM-UHFFFAOYSA-N,853.623366,96,98,24.0,413.29,676.823673688,-4.35749260421,2
C10H12N2O4,VCKPUUFAIGNJHC-UHFFFAOYSA-N,224.21328,28,28,4.0,126.64,202.231979973,-0.0990326647604,1
C27H44N7O20P3S,OTEACGAEDCIMBS-UHFFFAOYSA-N,911.659446,102,104,27.0,450.59,726.35963764,-4.53402744763,2
C9H10O3,QVWAEZJXDYOKEH-UHFFFAOYSA-N,166.1739,22,22,3.0,57.53,156.788706931,1.51494080138,0
C20H24N2O3,BSRUJCFCZKMFMB-UHFFFAOYSA-N,340.41616,49,52,4.0,65.82,315.795764728,1.67247226331,0
C6H8O5,RTGHRDFWYQHVFW-UHFFFAOYSA-N,160.12472,19,18,5.0,91.67,148.374123856,-0.450141957214,0
C27H42N7O20P3S,VKKKAAPGXHWXOO-UHFFFAOYSA-N,909.643566,100,102,27.0,447.43,723.72317894,-4.60520634903,2
C6H10O7,WTAHRPBPWHCMHW-UHFFFAOYSA-N,194.1394,23,22,5.0,135.29,168.591035958,-2.69650169236,0
C4H6O3,WDJHALXBUFZDSR-UHFFFAOYSA-N,102.08864,13,12,2.0,54.37,98.8381599044,-0.357067417097,0
C12H20O11,HKKHTABTHSUDBP-UHFFFAOYSA-N,340.2806,43,44,4.0,186.37,285.451391815,-4.85489836697,2
C3H4O3S,OJOLFAIGOXZBCI-UHFFFAOYSA-N,120.12706,11,10,2.0,93.17,100.051199336,-0.810150460435,0
C26H42N7O17P3S,BXIPALATIYNHJN-UHFFFAOYSA-N,849.634666,96,98,24.0,393.06,682.692972913,-3.82889366743,2
C47H70O3,UTIBHEBNILDQKX-UHFFFAOYSA-N,683.0569,120,120,32.0,57.53,792.944453108,9.04857100264,1
C7H6O2,IAVREABSGIHHMO-UHFFFAOYSA-N,122.12134,15,15,1.0,37.3,113.406510979,1.15598832797,0
C7H8O2,OKVJCVWFVRATSG-UHFFFAOYSA-N,124.13722,17,17,1.0,40.46,116.04296968,0.978353552895,0
C45H72N7O20P3S,DABYNUYNLLSQQV-UHFFFAOYSA-N,1156.074366,148,154,26.0,450.59,988.261526103,-2.39061595679,2
C6H6O4,ZPEHSARSWGDCEX-UHFFFAOYSA-N,142.10944,16,16,2.0,63.6,127.227438455,-0.0544781426844,0
C3H5O7P,LFLUCDOSQPJJBE-UHFFFAOYSA-N,184.041362,16,15,4.0,130.94,136.530335489,-3.22147027265,0
C3H8NO6P,BZQFBWGGLXLEPQ-UHFFFAOYSA-N,185.072482,19,18,4.0,139.89,141.373327697,-3.12473735664,0
C9H10O2,XMIIGOLPHOKFCH-UHFFFAOYSA-N,150.1745,21,21,3.0,37.3,147.998480231,2.08272095757,0
C7H7NO2,WGNUNYPERJMVRM-UHFFFAOYSA-N,137.13598,17,17,2.0,50.19,124.403271187,0.204208171785,0
C3H7NO4S,ADVPTQAUNPRNPO-UHFFFAOYSA-N,153.15698,16,15,3.0,100.62,122.474644946,-1.59364470548,0
C3H4O5S,JXYLQEMXCAAMOL-UHFFFAOYSA-N,152.12586,13,12,3.0,91.67,117.631652737,-1.69037762149,0
C4H8N2O3,JSJWCHRYRHKBBW-UHFFFAOYSA-N,132.11792,17,16,4.0,92.42,120.831680321,-1.14056166214,0
C4H6O8P,MZJFVXDTNBHTKZ-UHFFFAOYSA-N,213.059402,19,18,5.0,154.0,161.298317465,-3.51671656889,0
C4H7O8P,MZJFVXDTNBHTKZ-UHFFFAOYSA-N,214.067342,20,19,5.0,151.17,162.616546815,-3.51671656889,0
C9H11NO2,MFYZACBRKCFXDV-UHFFFAOYSA-N,165.18914,23,23,4.0,50.19,158.995240439,0.854940801383,0
C10H11NO5,OIUJHGOLFKDBSU-UHFFFAOYSA-N,225.19804,27,27,4.0,109.85,210.925446466,-0.0910326647604,0
C4H5N3O2,PWCLNQLPYQVWAB-UHFFFAOYSA-N,127.1014,14,14,1.0,92.0,97.1452964267,-1.09329457815,0
C4H9NO,DZQLQEYLEYWJIB-UHFFFAOYSA-N,87.12036,15,14,3.0,43.09,94.8909254122,-0.225827597553,0
C4H9NO2,BTCSSZJGUNDROE-UHFFFAOYSA-N,103.11976,16,15,3.0,63.32,103.681152113,-0.249607753742,0
C6H4O4,AYFXPGXAZMFWNH-UHFFFAOYSA-N,140.09356,14,14,2.0,67.51,113.690979754,0.123156632393,0
C14H25N3O14P2,YFAUKWZNPVBCFF-UHFFFAOYSA-N,521.307524,58,59,11.0,293.2,402.885911207,-4.32554036647,2
C8H8O6,GACSIVHAIFQKTC-UHFFFAOYSA-N,200.14552,22,21,7.0,108.74,186.483402407,-0.711626263484,0
C5H12N4O,YHVFECVVGNXFKO-UHFFFAOYSA-N,144.17498,22,21,5.0,107.49,142.540731962,-0.325122580696,1
C5H8O4,HFKQINMYQUXOCH-UHFFFAOYSA-N,132.11462,17,16,3.0,74.6,124.924371231,-0.755458766166,0
C7H8O2,BVJSUAQZOZWCKN-UHFFFAOYSA-N,124.13722,17,17,1.0,40.46,116.04296968,0.978353552895,0
C7H6O2,RGHHSNMVTDWUBI-UHFFFAOYSA-N,122.12134,15,15,1.0,37.3,113.406510979,1.15598832797,0
